ID type condition trial sound_dist concept_dist item sameDiff answer correct native gender age
subject_2 Test 3 1 similar different bird NA 1 1 other F 3
subject_2 Test 3 1 similar different bird NA 1 1 other F 3
subject_2 Test 3 1 similar different bird NA 1 1 other F 3
subject_2 Test 3 2 similar different bird NA 1 0 other F 3
subject_2 Test 3 2 similar different bird NA 0 1 other F 3
subject_2 Test 3 2 similar different bird NA 1 1 other F 3
subject_2 Test 3 2 similar different bird NA 0 0 other F 3
subject_2 Test 5 1 maximal different flower NA 1 1 other F 3
subject_2 Test 5 1 maximal different flower NA 1 1 other F 3
subject_2 Test 5 1 maximal different flower NA 0 1 other F 3
subject_2 Test 5 1 maximal different flower NA 0 1 other F 3
subject_2 Test 5 2 maximal different flower NA 1 1 other F 3
subject_2 Test 5 2 maximal different flower NA 1 1 other F 3
subject_2 Test 5 2 maximal different flower NA 1 0 other F 3
subject_2 Test 5 2 maximal different flower NA 0 0 other F 3
subject_2 Test 1 1 different similar fish NA 0 0 other F 3
subject_2 Test 1 1 different similar fish NA 0 0 other F 3
subject_2 Test 1 1 different similar fish NA 1 1 other F 3
subject_2 Test 1 1 different similar fish NA 1 1 other F 3
subject_2 Test 1 2 different similar fish NA 1 1 other F 3
subject_2 Test 1 2 different similar fish NA 0 1 other F 3
subject_2 Test 1 2 different similar fish NA 0 0 other F 3
subject_2 Test 1 2 different similar fish NA 0 0 other F 3
subject_2 Test 2 1 maximal similar bug NA 0 1 other F 3
subject_2 Test 2 1 maximal similar bug NA 1 0 other F 3
subject_2 Test 2 1 maximal similar bug NA 0 0 other F 3
subject_2 Test 2 1 maximal similar bug NA 1 1 other F 3
subject_2 Test 2 2 maximal similar bug NA 1 1 other F 3
subject_2 Test 2 2 maximal similar bug NA 1 0 other F 3
subject_2 Test 2 2 maximal similar bug NA 1 1 other F 3
subject_2 Test 2 2 maximal similar bug NA 0 0 other F 3
subject_2 Test 0 1 similar similar flower NA 1 1 other F 3
subject_2 Test 0 1 similar similar flower NA 0 0 other F 3
subject_2 Test 0 1 similar similar flower NA 0 0 other F 3
subject_2 Test 0 1 similar similar flower NA 1 1 other F 3
subject_2 Test 0 2 similar similar flower NA 0 0 other F 3
subject_2 Test 0 2 similar similar flower NA 0 0 other F 3
subject_2 Test 0 2 similar similar flower NA 0 0 other F 3
subject_2 Test 0 2 similar similar flower NA 0 0 other F 3
subject_3 Test_pre joint NA NA NA  NA 1 NA other F 3
subject_3 Test_pre joint NA NA NA  NA 0 NA other F 3
subject_3 Test 4 1 different different bug NA 0 1 other F 3
subject_3 Test 4 1 different different bug NA 0 0 other F 3
subject_3 Test 4 1 different different bug NA 1 1 other F 3
subject_3 Test 4 1 different different bug NA 1 0 other F 3
subject_3 Test 4 2 different different bug NA 0 0 other F 3
subject_3 Test 4 2 different different bug NA 0 1 other F 3
subject_3 Test 4 2 different different bug NA 1 1 other F 3
subject_3 Test 4 2 different different bug NA 0 0 other F 3
subject_3 Test 2 1 maximal similar bug NA 0 1 other F 3
subject_3 Test 2 1 maximal similar bug NA 1 0 other F 3
subject_3 Test 2 1 maximal similar bug NA 1 0 other F 3
subject_3 Test 2 1 maximal similar bug NA 0 1 other F 3
subject_3 Test 2 2 maximal similar bug NA 0 0 other F 3
subject_3 Test 2 2 maximal similar bug NA 1 1 other F 3
subject_3 Test 2 2 maximal similar bug NA 1 0 other F 3
