ID type condition trial sound_dist concept_dist item sameDiff answer correct native gender age
subject_3 Test 3 1 similar different flower NA 0 0 other F 3
subject_3 Test 3 1 similar different flower NA 0 0 other F 3
subject_3 Test 3 1 similar different flower NA 0 0 other F 3
subject_3 Test 3 1 similar different flower NA 0 0 other F 3
subject_3 Test 3 2 similar different flower NA 1 0 other F 3
subject_3 Test 3 2 similar different flower NA 0 0 other F 3
subject_3 Test 3 2 similar different flower NA 0 0 other F 3
subject_3 Test 3 2 similar different flower NA 1 0 other F 3
subject_3 Test 1 1 different similar fish NA 0 0 other F 3
subject_3 Test 1 1 different similar fish NA 1 1 other F 3
subject_3 Test 1 1 different similar fish NA 1 1 other F 3
subject_3 Test 1 1 different similar fish NA 0 0 other F 3
subject_3 Test 1 2 different similar fish NA 1 0 other F 3
subject_3 Test 1 2 different similar fish NA 1 0 other F 3
subject_3 Test 1 2 different similar fish NA 0 1 other F 3
subject_3 Test 1 2 different similar fish NA 0 1 other F 3
subject_3 Test 5 1 maximal different bird NA 0 0 other F 3
subject_3 Test 5 1 maximal different bird NA 1 1 other F 3
subject_3 Test 5 1 maximal different bird NA 1 1 other F 3
subject_3 Test 5 1 maximal different bird NA 0 0 other F 3
subject_3 Test 5 2 maximal different bird NA 1 0 other F 3
subject_3 Test 5 2 maximal different bird NA 0 0 other F 3
subject_3 Test 5 2 maximal different bird NA 1 0 other F 3
subject_3 Test 5 2 maximal different bird NA 0 0 other F 3
subject_3 Test 0 1 similar similar bird NA 0 0 other F 3
subject_3 Test 0 1 similar similar bird NA 1 1 other F 3
subject_3 Test 0 1 similar similar bird NA 1 0 other F 3
subject_3 Test 0 1 similar similar bird NA 0 1 other F 3
subject_3 Test 0 2 similar similar bird NA 1 0 other F 3
subject_3 Test 0 2 similar similar bird NA 0 0 other F 3
subject_3 Test 0 2 similar similar bird NA 1 0 other F 3
subject_3 Test 0 2 similar similar bird NA 0 0 other F 3
subject_4 Test_pre joint NA NA NA  NA 0 NA other F 5
subject_4 Test_pre joint NA NA NA  NA 0 NA other F 5
subject_4 Test 1 1 different similar flower NA 0 0 other F 5
subject_4 Test 1 1 different similar flower NA 1 1 other F 5
subject_4 Test 1 1 different similar flower NA 0 1 other F 5
subject_4 Test 1 1 different similar flower NA 0 0 other F 5
subject_4 Test 1 2 different similar flower NA 0 0 other F 5
subject_4 Test 1 2 different similar flower NA 0 0 other F 5
subject_4 Test 1 2 different similar flower NA 0 0 other F 5
subject_4 Test 1 2 different similar flower NA 0 0 other F 5
subject_4 Test 0 1 similar similar bird NA 0 0 other F 5
subject_4 Test 0 1 similar similar bird NA 0 0 other F 5
subject_4 Test 0 1 similar similar bird NA 0 0 other F 5
subject_4 Test 0 1 similar similar bird NA 0 0 other F 5
subject_4 Test 0 2 similar similar bird NA 0 0 other F 5
subject_4 Test 0 2 similar similar bird NA 1 0 other F 5
subject_4 Test 0 2 similar similar bird NA 1 0 other F 5
subject_4 Test 0 2 similar similar bird NA 0 0 other F 5
subject_4 Test 5 1 maximal different bird NA 1 1 other F 5
